,id,shiqu,总价,均价,面积,小区,样本数量
334,2308.361702,1,89.59680851,9502.276596,94.90106383,南湖春晓,47
716,5630.521739,2.086956522,75.43478261,9480.73913,77.26086957,汇博上谷大观(商住楼),23
938,9912.5,3.333333333,39.75,9314.333333,42.83333333,翠园公寓,6
323,1361.176471,1,86.11588235,9276.470588,93.60647059,华舜学府,17
691,9651.106383,3.138297872,101.917234,9270.904255,109.9478723,民生和院,94
391,1980.809524,1,93.73809524,9157.857143,102.6209524,嘉森理想城,21
537,1243.866667,1,92,9119.533333,102.2266667,幸福里小区,15
612,5539,2.333333333,117.6925,9069.583333,129.8083333,昭华锦城A区,12
493,8929.142857,3,101.8571429,9020.857143,111.7142857,尚达绿都,7
841,1513.5,1,56.13333333,8997.666667,62.66666667,石油库宿舍,6
1088,1588.470588,1,77.9,8973.411765,86.28588235,锦绣鑫城,17
935,6123.428571,2,94.68571429,8889.571429,106.5714286,美林河畔,7
21,8223.571429,2.857142857,77.57142857,8782.285714,87.18285714,万和公寓,7
606,8645.95,3.1,80.125,8562.35,93.787,明珠佳苑,20
893,3989.444444,2,76,8539,89,秀水俪都,9
64,1782.625,1.026785714,89.49553571,8528.776786,104.7307143,东城国际,112
732,1408.176471,1,84.13235294,8404.441176,100.5914706,泰和福地水岸,34
855,11735.66667,4,79.33333333,8380.166667,94.66666667,秀兰原香,6
861,7085.059701,2.447761194,81.95522388,8195.089552,101.1301493,秀兰城市美居,67
473,2160.333333,1,68.33333333,8096.666667,84.84444444,宏盛家园,9
483,11816,4,50.38695652,8061.043478,62.36782609,容大梦立方,23
139,2070.707692,1,77.96,7898.246154,98.73846154,五里华都,65
620,12364.22222,4,79.55555556,7824.888889,102,晨熙佳苑,9
1166,1721.166667,1,61.11333333,7612.222222,83.66666667,黄庄小区,18
668,12266.25,4,48.95,7361.375,66.6975,梦立方,8
377,11798,4,65.75,7323.125,98.05,君佑大厦,8
1162,10765.57143,3.714285714,84.57142857,7187.857143,118.7142857,鲁岗辛新村小区,7
934,1434.428571,1,70.35714286,7187.238095,101.0952381,美景东方,21
550,7335.454545,3,85,7157,118.76,康远小区,11
626,11461.33333,4,49.16666667,7064.5,71.66666667,智慧谷,6
942,1990,1,67.14285714,6872.857143,98.71428571,翠景小镇,7
495,1661,1,53.52,6871.25,78.15,尧和宁苑,20
768,6885,2.285714286,131.5714286,6835.142857,187,熙源浅隐珊(别墅),7
983,11841.07692,4,70.92307692,6778.615385,104.6738462,蓝港国际,13
1026,11637.5,4,63.16666667,6605.333333,95.33333333,通达紫锦园,6
683,2531.857143,1,63.37142857,6596,97.11928571,橙市阳光,14
1020,9093.375,3.25,61.625,6142.5,100.25,赫达梅林,8
767,4929.87234,2.042553191,75.87234043,6131.595745,120.3425532,熙源浅隐珊,47
344,1457.571429,1,63.01714286,6092.542857,107.2308571,博雅A区,35
756,5522.925926,2.037037037,50.26666667,5980.481481,86.57111111,溪岸花语,27
848,2078.266667,1,61.772,5840.666667,107.6293333,碧水新居,15
0,1912.90625,1,101.9375,5396.5625,172.8625,6英里小镇,32
156,4152.125,1.75,64.25,5332,120.1825,仙庭湖畔,8
486,5845.142857,2,51.57666667,4796.047619,109.69,富景蓝湾,21
977,1636.857143,1,51.81428571,4791.571429,108.4342857,荷香别院,7
