,id,title,shiqu,area,price,avg,shitingwei,xiaoqu,cenggao,weizhi,jingjiren,总价,均价,面积
3165,3165,火车站附近涂料房单价1万站前街116号院双彩小区,1,77.0,83,10779,2室2厅1卫,站前街116号院,高层(共6层),南市站前街,独立经纪人－戎海军戎海军1年独立经纪人58同城认证商家,83.0,10779.0,77.0
3166,3166,火车站附近单价1万南北通透涂料房不是顶,1,76.87,83.8,10901,2室2厅1卫,站前街116号院,高层(共6层),南市站前街,独立经纪人－宋世超宋世超2年独立经纪人58同城认证商家,83.8,10901.0,76.87
3167,3167,省医院附近二机床厂宿舍2居室精装暖气小房,1,40.0,58,14500,2室1厅1卫,二机床厂宿舍,中层(共6层),南市裕华东路,独立经纪人－刘红利刘红利1年独立经纪人58同城认证商家,58.0,14500.0,40.0
3168,3168,放心置业在华中大社区瓷砖房三室中间楼层，房主急,1,136.6,180,13177,3室2厅1卫,秀兰康泽园南区,中层(共6层),南市富泽路,华中置业－赵颖赵颖1年华中置业58同城认证商家,180.0,13177.0,136.6
3169,3169,放心置业在华中康欣园康泽园瓷砖房好户型2室,1,70.0,96.5,13785,2室1厅1卫,秀兰康泽园南区,中层(共6层),南市富泽路,保定华中置业－魏小平魏小平2年保定华中置业58同城认证商家,96.5,13785.0,70.0
3170,3170,裕丰二期精装大3居可贷款,1,104.0,125,12019,3室2厅1卫,裕丰家园二期,高层(共6层),南市益民街,保定民生房产－李微李微4年保定民生房产58同城认证商家,125.0,12019.0,104.0
3171,3171,火车站附近精装两室，首付15万,1,60.3,79.8,13233,2室1厅1卫,光华小区,高层(共7层),"南市西关大街,近建华大街",独立经纪人－王增运王增运1年独立经纪人58同城认证商家,79.8,13233.0,60.3
3172,3172,高档小区物业好两室两厅精装修急售总价低东俪湾小区,1,90.5,145,16022,2室2厅1卫,东郦湾,中层(共6层),南市天威东路,独立经纪人－王焕王焕1年独立经纪人58同城认证商家,145.0,16022.0,90.5
3173,3173,二十一中附近实用三室南北通透户型明厨明卫,1,92.0,95.8,10413,3室1厅1卫,西街小区,高层(共6层),南市莲池南大街,独立经纪人－李艳会李艳会1年独立经纪人58同城认证商家,95.8,10413.0,92.0
3174,3174,南大园西街涂料房一中附近！三室两厅精装修非顶楼！,1,92.0,95.8,10413,3室2厅1卫,西街小区,高层(共6层),南市莲池南大街,独立经纪人－刘秋梅刘秋梅1年独立经纪人58同城认证商家,95.8,10413.0,92.0
