,id,title,shiqu,area,price,avg,shitingwei,xiaoqu,cenggao,weizhi,jingjiren,总价,均价,面积
0,0,朝阳路高端社区准现房大产权首付分期可2成精,1,112.0,142,12678,3室2厅1卫,蓝湖郡,中层(共30层),南市朝阳南大街,独立经纪人－杨海军杨海军1年独立经纪人58同城认证商家,142.0,12678.0,112.0
1,1,碧水新居80平米精装修两居带地下室42万包改名价免,1,86.0,42,4883,2室2厅1卫,碧水新居,中层(共7层),南市建国西路,独立经纪人－甄光甄光2年独立经纪人58同城认证商家,42.0,4883.0,86.0
2,2,海南省中铁集团独栋别墅面积700平自带前后免,1,200.0,300,15000,4室3厅3卫,中铁家园,共3层,南市莲池南大街,四通房产－王龙龙王龙龙1年四通房产58同城认证商家,300.0,15000.0,200.0
3,3,蓝湖郡好房源首付二十五万紧邻朝阳大可贷款免,1,89.0,84,9438,2室2厅1卫,蓝湖郡,中层(共30层),南市朝阳南大街,独立经纪人－杨洁杨洁1年独立经纪人58同城认证商家,84.0,9438.0,89.0
4,4,大产权首付18万蓝湖郡自己的房急急急长免,1,88.81,85,9570,2室2厅1卫,蓝湖郡,低层(共30层),南市朝阳南大街,独立经纪人－于飞飞于飞飞1年独立经纪人58同城认证商家,85.0,9570.0,88.81
5,5,农大附近轻工局宿舍涂料房单价8600看房方便天马顶,1,99,86,8686,2室2厅1卫,轻工宿舍,高层(共6层),南市复兴中路2733号,独立经纪人－高孟江高孟江1年独立经纪人58同城认证商家,86.0,8686.0,99.0
6,6,维多利亚上院旁大产权首付35万就可拥有顶,1,85.95,80,9307,2室2厅1卫,维多利亚上院,中层(共21层),南市南二环路,独立经纪人－刘玉佩刘玉佩1年独立经纪人58同城认证商家,80.0,9307.0,85.95
7,7,河北农大裕丰一期2室2厅1卫92㎡顶,1,92,134.8,14652,2室2厅1卫,裕丰家园一期,中层(共6层),南市利民街,独立经纪人－张迎新张迎新2年独立经纪人58同城认证商家,134.8,14652.0,92.0
8,8,急售！八中保师附小单价11首付18万顶,1,60.0,68,11333,2室1厅1卫,淮军公所,共5层,南市兴华路346号,独立经纪人－闫美卿闫美卿1年独立经纪人58同城认证商家,68.0,11333.0,60.0
9,9,急售！4楼1室房主急用钱急售顶,1,41.0,45,10975,1室1厅1卫,朱家园,中层(共6层),南市西关大街,独立经纪人－闫美卿闫美卿1年独立经纪人58同城认证商家,45.0,10975.0,41.0
10,10,东风公园大润发美丽一楼两居房主诚心急售精装修顶,1,54.0,64,11851,2室1厅1卫,长城南大街210号院,低层(共6层),南市长城南大街,独立经纪人－李志容李志容1年独立经纪人58同城认证商家,64.0,11851.0,54.0
11,11,急售罐头厂宿舍两室两厅南北通透标准户型临东部风景顶,1,118.0,139,11779,2室2厅1卫,客运中心罐头厂宿舍,高层(共6层),南市裕华东路,独立经纪人－董朋超董朋超1年独立经纪人58同城认证商家,139.0,11779.0,118.0
12,12,天马小区小户型2楼首付30万瓷砖房双气急售顶,1,51.4,62,12062,2室1厅1卫,天马小区,低层(共6层),南市利民街379号,独立经纪人－胡金玲胡金玲1年独立经纪人58同城认证商家,62.0,12062.0,51.4
13,13,东风公园附近永华园裕华园中华小区瓷砖房首付25万顶,1,65,87,13384,2室2厅1卫,中华小区五区,中层(共6层),北市石柱街,经纪人－赵女士赵女士-1年58同城认证商家,87.0,13384.0,65.0
14,14,精装修送家具家电看图片看房子随时恭候可贷款,1,59.0,70,11864,2室1厅1卫,莲池社区,高层(共6层),南市兴华路179号,经纪人－吕新吕新1年58同城认证商家,70.0,11864.0,59.0
15,15,出售广场附近南北通透大两居，有房本可贷款，即买即,1,106.0,49,4622,2室2厅1卫,金桥小区,共5层,南市唐尧东路,独立经纪人－赵丹赵丹1年独立经纪人58同城认证商家,49.0,4622.0,106.0
16,16,急售2楼2楼首付15万省医院附近暖气好,1,60.0,68,11333,2室1厅1卫,金叶小区,低层(共6层),南市裕华东路,华中置业－朱丽红朱丽红2年华中置业58同城认证商家,68.0,11333.0,60.0
17,17,福地水岸东边的3室可贷款,1,123.0,137,11138,3室2厅1卫,泰和福地水岸,高层(共17层),南市三丰东路,独立经纪人－郭红郭红1年独立经纪人58同城认证商家,137.0,11138.0,123.0
18,18,军校广场省医院宿舍涂料房单价1万1停车方便金专宿,1,70.0,76,10857,2室2厅1卫,省医院宿舍(普庆路),高层(共6层),南市普庆路131号,经纪人－潘艳东潘艳东1年58同城认证商家,76.0,10857.0,70.0
20,20,八中，联盟西路小学片内，1楼3室，老本可贷款，精,1,91.0,125,13736,3室2厅1卫,运输一公司宿舍,低层(共6层),南市建华大街,独立经纪人－戎海军戎海军1年独立经纪人58同城认证商家,125.0,13736.0,91.0
21,21,来的时候打电话怕不在家五里华都园洋房优品三室,1,92.0,76,8260,3室2厅1卫,五里华都,中层(共7层),南市长城南大街,独立经纪人－张玲张玲1年独立经纪人58同城认证商家,76.0,8260.0,92.0
22,22,捡漏的来房主因欠款低价出售包改名可贷款,1,84.0,78,9285,2室2厅1卫,南湖春晓,中层(共33层),南市利民路,独立经纪人－翟钰翟钰2年独立经纪人58同城认证商家,78.0,9285.0,84.0
23,23,一楼门脸临街可居住可商铺,1,50.0,40,8000,1室1厅1卫,青青花园,低层(共6层),南市长城南大街,独立经纪人－梁丽梁丽1年独立经纪人58同城认证商家,40.0,8000.0,50.0
24,24,跃层3/4跃，精装修，未住过人，双气，小区新环境,1,200.0,315,15750,4室2厅2卫,世家明缘,共4层,南市天威东路958号,独立经纪人－董贺仕董贺仕1年独立经纪人58同城认证商家,315.0,15750.0,200.0
25,25,出售急售首付18万紧挨裕华路精装二室一厅,1,58.0,60,10344,2室1厅1卫,气象局宿舍,共5层,南市裕华东路406号,独立经纪人－赵伟赵伟1年独立经纪人58同城认证商家,60.0,10344.0,58.0
26,26,首付12万精装婚房2室东风公园附近中华小区东升街,1,54.0,59,10925,2室1厅1卫,金叶小区,共4层,南市裕华东路,独立经纪人－李志永李志永1年独立经纪人58同城认证商家,59.0,10925.0,54.0
28,28,十七中片内可贷款瓷砖房好户型,1,78.8,90,11421,2室1厅1卫,总督署小区,高层(共6层),南市兴华路,独立经纪人－张瑜张瑜2年独立经纪人58同城认证商家,90.0,11421.0,78.8
29,29,保定一中附近福地水岸南边赫达梅林紧邻府河公,1,97.0,62,6391,2室2厅1卫,泰和福地水岸,中层(共17层),南市三丰东路,独立经纪人－郭艳郭艳1年独立经纪人58同城认证商家,62.0,6391.0,97.0
30,30,首付6万东部温泉度假小镇高铁旁电梯洋房仙庭湖畔,1,91.02,43,4724,2室2厅1卫,仙庭湖畔,低层(共6层),南市,经纪人－冀海英冀海英1年58同城认证商家,43.0,4724.0,91.02
31,31,急售首付16万八中南北通透带20平院送车位建华,1,68.0,69.8,10264,2室2厅2卫,新建华小区,共5层,南市天威中路,独立经纪人－樊寒立樊寒立1年独立经纪人58同城认证商家,69.8,10264.0,68.0
32,32,联盟路小学八中铁片涂料房建园小区新建华小区燃料公,1,77.0,94,12207,2室2厅1卫,建园小区,高层(共6层),南市农大西巷,独立经纪人－赵辉赵辉1年独立经纪人58同城认证商家,94.0,12207.0,77.0
33,33,中华小区，北国商场附近，两室一厅，60平米，,1,60.0,88,14666,2室1厅1卫,裕华园小区,中层(共6层),南市莲池南大街,独立经纪人－苏东海苏东海1年独立经纪人58同城认证商家,88.0,14666.0,60.0
34,34,裕华路力高大慈阁裕华园附近清真寺小区两居室新,1,66.0,60,9090,2室1厅1卫,清真寺小区,高层(共6层),南市,独立经纪人－李会李会1年独立经纪人58同城认证商家,60.0,9090.0,66.0
35,35,客运中心东部风景旁直隶花园小高层通透两室精装礴地,1,93.0,107,11505,2室2厅1卫,直隶花园,中层(共18层),南市,独立经纪人－谢经理谢经理1年独立经纪人58同城认证商家,107.0,11505.0,93.0
36,36,跳楼价！！东三环未来微墅五证齐全,1,55.39,50,9026,1室1厅1卫,未来微墅,中层(共24层),南市东二环路,经纪人－魏涛魏涛1年58同城认证商家,50.0,9026.0,55.39
37,37,多祥街，17中，保师附小，温馨小两室，动物园对,1,45.0,50,11111,2室1厅1卫,淮军公所,低层(共6层),南市兴华路346号,独立经纪人－房鸿雁房鸿雁1年独立经纪人58同城认证商家,50.0,11111.0,45.0
38,38,首付20万大两居，位置绝妇幼保健院，一中都在附近,1,97.0,77,7938,2室2厅1卫,五里华都,中层(共19层),南市长城南大街,独立经纪人－王培王培1年独立经纪人58同城认证商家,77.0,7938.0,97.0
39,39,保师附小十七中裕华路房主急售明厨明卫急售可议看房,1,75.5,80,10596,3室2厅1卫,总督署小区,共5层,南市兴华路,独立经纪人－武海涛武海涛1年独立经纪人58同城认证商家,80.0,10596.0,75.5
40,40,秀兰公寓年底新推项目不要让您就这样错过了这次,1,50.0,56,11200,1室1厅1卫,秀兰公寓,中层(共21层),南市永华南大街,经纪人－李冬李冬1年58同城认证商家,56.0,11200.0,50.0
41,41,火车站附近黄金3楼装修特别好拎包入住价格,1,37.0,40,10810,1室1厅1卫,老建华小区,中层(共7层),南市建华大街,独立经纪人－张少华张少华1年独立经纪人58同城认证商家,40.0,10810.0,37.0
42,42,出售南部大盘南湖春晓准现房中层可贷31,1,84.5,87,10295,2室2厅1卫,南湖春晓,中层(共30层),南市利民路,独立经纪人－王俊娜王俊娜1年独立经纪人58同城认证商家,87.0,10295.0,84.5
43,43,2楼精装修实际价格50万单价很低系统都不,1,82.7,54,6529,2室2厅1卫,碧水新居,低层(共7层),南市建国西路,独立经纪人－吴梦珮吴梦珮1年独立经纪人58同城认证商家,54.0,6529.0,82.7
44,44,价格86万太便宜了都不让登出来了蓝湖郡准现,1,92.53,100,10807,2室2厅1卫,蓝湖郡,高层(共30层),南市朝阳南大街,独立经纪人－吴梦珮吴梦珮1年独立经纪人58同城认证商家,100.0,10807.0,92.53
45,45,保师附小十七中工行宿舍3室1厅精装修婚房拎,1,98.1,145,14780,3室1厅1卫,工行宿舍(学府胡同),低层(共6层),南市学府胡同,独立经纪人－马东马东1年独立经纪人58同城认证商家,145.0,14780.0,98.1
46,46,嘉森理想城3室还未有房本全款单价6400卖,1,118.0,100,8474,3室2厅1卫,嘉森·理想城,中层(共25层),南市,经纪人－刘海涛刘海涛4年58同城认证商家,100.0,8474.0,118.0
47,47,"浩正美林湾,11000元,大三居,楼层好准现房",1,126.0,138.6,11000,3室2厅2卫,浩正美林湾,中层(共32层),南市朝阳南大街,独立经纪人－张丽霞张丽霞4年独立经纪人58同城认证商家,138.6,11000.0,126.0
48,48,金叶小区51平两室精装修一楼小房75万,1,51.0,75,14705,2室1厅1卫,金叶小区,低层(共6层),南市裕华东路,独立经纪人－陈东东陈东东1年独立经纪人58同城认证商家,75.0,14705.0,51.0
49,49,现房精装修全家电一中附近新民居五里华都紧邻市政,1,98.0,76,7755,2室2厅1卫,五里华都,中层(共6层),南市长城南大街,独立经纪人－邢伟邢伟1年独立经纪人58同城认证商家,76.0,7755.0,98.0
50,50,一中附近福地水岸单价1.2万包改名现房,1,117.0,133,11367,3室2厅1卫,泰和福地水岸,高层(共17层),南市三丰东路,独立经纪人－张永伟张永伟1年独立经纪人58同城认证商家,133.0,11367.0,117.0
51,51,县学街小学瓷砖房标准户型裕华园大慈阁力高豪园中华,1,60.0,80,13333,2室1厅1卫,裕华园,高层(共6层),南市莲池南大街,独立经纪人－赵辉赵辉1年独立经纪人58同城认证商家,80.0,13333.0,60.0
52,52,急售房源十七中铁片振兴里总督署小区兴华小区价格特,1,93.0,115,12365,2室2厅1卫,振兴里小区,高层(共6层),南市兴华路,独立经纪人－赵辉赵辉1年独立经纪人58同城认证商家,115.0,12365.0,93.0
53,53,锦绣花园大两居，南北通透，中间楼层，采光好，可贷,1,98.0,115,11734,2室2厅1卫,锦绣花园,中层(共6层),南市太行路,独立经纪人－王学敏王学敏1年独立经纪人58同城认证商家,115.0,11734.0,98.0
54,54,多层瓷砖房，80平米院无遮挡单价13400,1,86.0,116,13488,2室2厅1卫,天马小区,低层(共6层),南市利民街379号,经纪人－康明阳康明阳1年58同城认证商家,116.0,13488.0,86.0
55,55,省医院附近首付16万六一小学宿舍罐头厂宿舍二机床,1,56.0,69,12321,2室1厅1卫,六一小学宿舍,高层(共6层),南市莲池区裕华路与玉兰大街交叉口南行100米路西（六一小学附近）,独立经纪人－张庆瑞张庆瑞1年独立经纪人58同城认证商家,69.0,12321.0,56.0
56,56,南北2室实际面积大军校广场红阳小区烟厂宿舍省医院,1,73.1,84,11491,2室2厅1卫,红阳小区,高层(共6层),南市红阳大街525号,独立经纪人－张庆瑞张庆瑞1年独立经纪人58同城认证商家,84.0,11491.0,73.1
57,57,首付11万安家裕华路周边医疗生活交通配套,1,52.0,71,13653,2室1厅1卫,秀兰绿荫里,中层(共13层),南市裕华东路,独立经纪人－王钰华王钰华1年独立经纪人58同城认证商家,71.0,13653.0,52.0
58,58,小道：生态园哈罗城房主急用钱五证齐全底价急,1,81.16,94,11582,2室2厅1卫,哈罗城西区,中层(共32层),南市生力街,独立经纪人－孟庆祥孟庆祥1年独立经纪人58同城认证商家,94.0,11582.0,81.16
59,59,裕华路裕华小商品裕华园力高附近瓷砖房县学,1,60.11,99,16469,2室1厅1卫,裕华园,高层(共6层),南市莲池南大街,独立经纪人－韩彦波韩彦波2年独立经纪人58同城认证商家,99.0,16469.0,60.11
60,60,中华小区附近两室一厅单价1万，首付20万石,1,63.4,63,9936,2室1厅1卫,石油库宿舍,共4层,南市莲池南大街,独立经纪人－李朔李朔1年独立经纪人58同城认证商家,63.0,9936.0,63.4
61,61,40平米大平台免费送，免费看房，大社区，3室，好,1,103.0,140,13592,3室2厅1卫,红阳小区,高层(共6层),南市红阳大街525号,经纪人－陈赛陈赛2年58同城认证商家,140.0,13592.0,103.0
62,62,捡漏了！莲池南大街枫林花溪2室现房可贷款,1,93.0,95,10215,2室2厅1卫,枫林花溪,中层(共28层),南市莲池南大街,经纪人－刘振中刘振中1年58同城认证商家,95.0,10215.0,93.0
63,63,一中附近福地水岸旁首付16万起可回购赠更,1,90.0,55,6111,2室2厅1卫,赫达梅林,中层(共17层),南市,独立经纪人－王红娟王红娟1年独立经纪人58同城认证商家,55.0,6111.0,90.0
64,64,急售东风公园军校附近单价1万首付15万精装一楼,1,65.0,65,10000,2室1厅1卫,保定卷烟厂生活区A区,共5层,南市天威东路661号,独立经纪人－张帅张帅1年独立经纪人58同城认证商家,65.0,10000.0,65.0
65,65,金叶小区精装修真实图片紧邻省医院房子急售,1,51.0,72,14117,2室1厅1卫,金叶小区,共5层,南市裕华东路,独立经纪人－田建华田建华2年独立经纪人58同城认证商家,72.0,14117.0,51.0
66,66,东俪湾两室老本好楼层有物业可贷款临客运站,1,91.0,142.7,15681,2室2厅1卫,佰盛东俪湾,中层(共6层),南市天威东路1006号,独立经纪人－韦胜凯韦胜凯2年独立经纪人58同城认证商家,142.7,15681.0,91.0
67,67,长城大街80号院老本双气小房首付30万中华路小,1,83.0,100,12048,3室1厅1卫,长城南大街80号院,共5层,南市,独立经纪人－赵云龙赵云龙1年独立经纪人58同城认证商家,100.0,12048.0,83.0
68,68,降价30万70年大产权华油隶都98.46万三室首,1,115.84,106,9150,3室2厅1卫,华舜学府,低层(共22层),南市长城南大街,独立经纪人－李红涛李红涛1年独立经纪人58同城认证商家,106.0,9150.0,115.84
69,69,紫金府很便宜的一套，位置好在七一路东路，高端大社,1,132.0,207,15681,3室2厅1卫,未来紫金府,中层(共30层),"南市七一路,近东三环路",独立经纪人－王培王培1年独立经纪人58同城认证商家,207.0,15681.0,132.0
70,70,南市区品质大盘蓝湖郡准现房首付两居40万左右,1,84.0,96,11428,2室2厅1卫,蓝湖郡,中层(共33层),南市朝阳南大街,独立经纪人－刘宸垚刘宸垚1年独立经纪人58同城认证商家,96.0,11428.0,84.0
71,71,吉祥小区附近红星高频黄巾三楼精装一室大产,1,40.0,42,10500,1室1厅1卫,吉祥小区,共5层,南市凌云街,独立经纪人－任二亮任二亮2年独立经纪人58同城认证商家,42.0,10500.0,40.0
72,72,急售！八中保师附小单价11首付18万,1,60.0,68,11333,2室1厅1卫,淮军公所,共1层,南市兴华路346号,独立经纪人－张领燕张领燕1年独立经纪人58同城认证商家,68.0,11333.0,60.0
73,73,桂圆新发地大社区商圈配套齐全经典户型南北,1,109.0,97,8899,3室2厅1卫,未来紫金府,高层(共28层),"南市七一路,近东三环路",经纪人－王艳伟王艳伟1年58同城认证商家,97.0,8899.0,109.0
74,74,红星省医院裕华东路南北通透豪华装修首付低拎包入住,1,55.0,76.8,13963,2室1厅1卫,红星四号院,中层(共6层),南市裕华东路,独立经纪人－刘亮亮刘亮亮1年独立经纪人58同城认证商家,76.8,13963.0,55.0
75,75,首付18万精装修3楼老本双气八中/联盟,1,56.0,77,13750,2室1厅1卫,老建华小区,中层(共6层),南市建华大街,华中置业－耿思霞耿思霞2年华中置业58同城认证商家,77.0,13750.0,56.0
76,76,跳楼啦便宜卖维多利亚上院两居室单价低包,1,89.0,100,11235,2室2厅1卫,维多利亚上院,低层(共32层),南市南二环路,独立经纪人－李金锤李金锤1年独立经纪人58同城认证商家,100.0,11235.0,89.0
77,77,八中联盟西路小学现房电梯房包改名,1,93.0,95,10215,2室2厅1卫,宜运佳苑,中层(共32层),南市建国路,独立经纪人－张瑜张瑜2年独立经纪人58同城认证商家,95.0,10215.0,93.0
78,78,红阳小区瓷砖房，一楼，南北三居室，老本双气，看房,1,135.0,240,17777,3室2厅1卫,红阳小区,低层(共6层),南市红阳大街525号,独立经纪人－赵峰赵峰1年独立经纪人58同城认证商家,240.0,17777.0,135.0
79,79,长城大街世纪汽车城旁精品小高层自住首选生态宜居,1,92.0,96.2,10456,2室2厅1卫,华舜学府,中层(共23层),南市长城南大街,独立经纪人－何金坤何金坤2年独立经纪人58同城认证商家,96.2,10456.0,92.0
80,80,军校广场附近涂料房三楼干休所红阳小区红阳教委宿舍,1,74.0,105,14189,3室1厅1卫,干休所宿舍,共4层,南市天鹅中路,独立经纪人－赵辉赵辉1年独立经纪人58同城认证商家,105.0,14189.0,74.0
81,81,市民宿舍裕华路附近大社区95平132.5万,1,95.0,132.5,13947,3室2厅1卫,市民宿舍,高层(共6层),南市裕华东路79号,独立经纪人－曹雨雷曹雨雷1年独立经纪人58同城认证商家,132.5,13947.0,95.0
82,82,省医院附近单价11000，涂料房，有门卫物业,1,48.0,56,11666,1室1厅1卫,雪香花园,高层(共6层),南市天威东路,经纪人－康明阳康明阳1年58同城认证商家,56.0,11666.0,48.0
83,83,首付15万钟楼商厦附近莲池南大街东区相府胡同,1,59.0,67.5,11440,2室2厅1卫,莲池南大街西区,共5层,南市莲池南大街,独立经纪人－张庆瑞张庆瑞1年独立经纪人58同城认证商家,67.5,11440.0,59.0
84,84,精装修大两室涂料房有钥匙光华小区双彩小区新双井小,1,60.0,75,12500,2室1厅1卫,光华小区,高层(共7层),"南市西关大街,近建华大街",独立经纪人－张庆瑞张庆瑞1年独立经纪人58同城认证商家,75.0,12500.0,60.0
85,85,南市区周边仙庭湖畔3室2厅2卫126㎡,1,126,52,4126,3室2厅2卫,仙庭湖畔,中层(共18层),南市,经纪人－夏永刚夏永刚1年58同城认证商家,52.0,4126.0,126.0
86,86,首付12万两居室均价九千多,1,64.0,63,9843,2室2厅1卫,石油库宿舍,中层(共6层),南市莲池南大街,独立经纪人－杜珊珊杜珊珊1年独立经纪人58同城认证商家,63.0,9843.0,64.0
87,87,体育南市区生态园附近哈罗城低首付刚需两居,1,76.0,80,10526,2室2厅1卫,哈罗城西区,中层(共33层),南市生力街,独立经纪人－孟庆祥孟庆祥1年独立经纪人58同城认证商家,80.0,10526.0,76.0
88,88,省医院客运中心不限购绿荫里首付11万交,1,52.0,46.2,8884,2室1厅1卫,绿荫里,中层(共13层),南市,独立经纪人－王钰华王钰华1年独立经纪人58同城认证商家,46.2,8884.0,52.0
89,89,五证齐全准现房新一代E区,1,138.23,172,12443,3室2厅2卫,新一代E区,低层(共26层),南市,独立经纪人－储晋康储晋康1年独立经纪人58同城认证商家,172.0,12443.0,138.23
90,90,首付10万两室双阳采光好暖气天然气小房皇,1,62.0,62,10000,2室2厅1卫,史庄街57号院,中层(共6层),南市史庄街,经纪人－耿老多耿老多1年58同城认证商家,62.0,10000.0,62.0
91,91,锦绣新城首付3成准现房南北通透大三室可贷款,1,138.0,180,13043,2室1厅2卫,锦绣城,低层(共18层),南市莲池南大街,独立经纪人－王俊娜王俊娜1年独立经纪人58同城认证商家,180.0,13043.0,138.0
92,92,首付36，有100平平台精装3楼拎包入住，带地下,1,69.0,117,16956,1室1厅1卫,魅力东方,中层(共6层),南市红旗大街,独立经纪人－刘娟颖刘娟颖1年独立经纪人58同城认证商家,117.0,16956.0,69.0
93,93,省医院附近楼层好首付50南北通透大三居,1,143.0,175,12237,3室2厅2卫,邮电宿舍(裕华东路),中层(共6层),南市裕华东路,独立经纪人－朱军杰朱军杰2年独立经纪人58同城认证商家,175.0,12237.0,143.0
94,94,急售哈罗城大两居大产权,1,90.0,108,12000,2室2厅1卫,哈罗城西区,低层(共32层),南市生力街,独立经纪人－张彩敏张彩敏1年独立经纪人58同城认证商家,108.0,12000.0,90.0
95,95,蓝湖郡五证齐全现房南部大盘紧邻朝阳路首付25万起,1,88.0,89,10113,2室2厅1卫,蓝湖郡,中层(共25层),南市朝阳南大街,独立经纪人－张春艳张春艳1年独立经纪人58同城认证商家,89.0,10113.0,88.0
96,96,裕华路省医院红星小学附近市民宿舍2室2厅精,1,94.11,128,13601,2室2厅1卫,市民宿舍,低层(共6层),南市裕华东路79号,独立经纪人－戎海军戎海军1年独立经纪人58同城认证商家,128.0,13601.0,94.11
97,97,尚品名城95平精装两室出售68万南北通透,1,95.0,65,6842,2室2厅1卫,尚品名城,中层(共7层),南市南二环路,独立经纪人－李红涛李红涛1年独立经纪人58同城认证商家,65.0,6842.0,95.0
98,98,东湖旁隆基泰和高端项目未来紫金府可贷款包,1,120.43,196.3,16299,3室2厅2卫,未来紫金府,中层(共27层),"南市七一路,近东三环路",独立经纪人－王俊娜王俊娜1年独立经纪人58同城认证商家,196.3,16299.0,120.43
99,99,喽王位置，中间楼层，河北农大附近，单价超低108,1,92.0,99,10760,2室2厅1卫,南湖春晓,中层(共30层),南市利民路,独立经纪人－王培王培1年独立经纪人58同城认证商家,99.0,10760.0,92.0
100,100,新一代e蓝湖郡准现房朝阳大街首付33万,1,89.0,109,12247,2室2厅1卫,蓝湖郡,中层(共30层),南市朝阳南大街,独立经纪人－刘宸垚刘宸垚1年独立经纪人58同城认证商家,109.0,12247.0,89.0
101,101,超好的地段！！一楼带院，尧和宁苑55万2室1,1,78.0,55,7051,2室1厅1卫,尧和宁苑,低层(共32层),南市南二环路,经纪人－安进亮安进亮1年58同城认证商家,55.0,7051.0,78.0
102,102,省医院南院普庆路附近可贷款南北通透户型,1,70.0,108,15428,2室2厅1卫,省医院宿舍(普庆路),中层(共6层),南市普庆路131号,独立经纪人－吴梦珮吴梦珮1年独立经纪人58同城认证商家,108.0,15428.0,70.0
103,103,房主因换房急用钱东三环正规新民居美景东方多层,1,110.0,76,6909,3室2厅1卫,美景东方,低层(共6层),南市南二环路,独立经纪人－王灵利王灵利1年独立经纪人58同城认证商家,76.0,6909.0,110.0
104,104,一楼带小院，可进三轮车，精装修两室，首付低，看房,1,56.0,68.5,12232,3室1厅1卫,百货站宿舍,低层(共6层),南市建华大街1379号,独立经纪人－甄敏娜甄敏娜1年独立经纪人58同城认证商家,68.5,12232.0,56.0
105,105,农大附近精装两室一厅单价11000金庄小区铁路宿,1,59.0,66,11186,2室1厅1卫,金庄小区,共5层,南市史庄街233号,独立经纪人－赵辉赵辉1年独立经纪人58同城认证商家,66.0,11186.0,59.0
106,106,康泽园康欣园急售首付48万四楼户型好瓷,1,114.0,148,12982,3室2厅1卫,秀兰康泽园南区,中层(共7层),南市富泽路,独立经纪人－文帅文帅1年独立经纪人58同城认证商家,148.0,12982.0,114.0
107,107,放心置业在华中省医院军校广场附近气象局宿舍4楼三,1,111.0,160,14414,3室2厅1卫,气象局宿舍,中层(共6层),南市裕华东路406号,经纪人－杨康杨康1年58同城认证商家,160.0,14414.0,111.0
108,108,省医院附近，出门裕华路，精装婚房两室带小房，首付,1,54.5,76,13944,2室1厅1卫,红星四号院,共5层,南市裕华东路,独立经纪人－张澈张澈2年独立经纪人58同城认证商家,76.0,13944.0,54.5
109,109,卓正房产省医院宿舍三室一厅南北通透简单装修房主诚,1,92.0,98,10652,3室2厅1卫,省医院宿舍(红旗南大街),共4层,南市红旗南大街,经纪人－闫业伟闫业伟2年58同城认证商家,98.0,10652.0,92.0
110,110,金线利诚八一小区保师附小十七中小两室,1,53.0,85,16037,2室1厅1卫,金线小区,低层(共6层),南市金线胡同,独立经纪人－李焕李焕1年独立经纪人58同城认证商家,85.0,16037.0,53.0
111,111,单价1.2万+地中海大产别墅285平350万有院,1,285.0,350,12280,4室2厅4卫,地中海(别墅),共4层,南市天威东路1519号,独立经纪人－刘志永刘志永2年独立经纪人58同城认证商家,350.0,12280.0,285.0
112,112,一中附近瓷砖三室两厅诚心出售高档小区金丰花园力高,1,143.0,166.8,11664,3室2厅2卫,金丰花园,高层(共7层),南市三丰东路,独立经纪人－王焕王焕1年独立经纪人58同城认证商家,166.8,11664.0,143.0
113,113,保定东部福地水岸旁五里花都2室2厅93平赠阁楼精,1,142.0,110,7746,4室2厅2卫,五里华都,高层(共6层),南市长城南大街,独立经纪人－刘玉佩刘玉佩1年独立经纪人58同城认证商家,110.0,7746.0,142.0
114,114,一中附近瓷砖三室两厅诚心出售高档小区金丰花园力高,1,143.0,166.8,11664,3室2厅2卫,金丰花园,高层(共7层),南市三丰东路,独立经纪人－王焕王焕1年独立经纪人58同城认证商家,166.8,11664.0,143.0
115,115,保定东部福地水岸旁五里花都2室2厅93平赠阁楼精,1,142.0,110,7746,4室2厅2卫,五里华都,高层(共6层),南市长城南大街,独立经纪人－刘玉佩刘玉佩1年独立经纪人58同城认证商家,110.0,7746.0,142.0
116,116,急售！捡漏价！五金宿舍磁砖房单价12700,1,70.46,95,13482,2室1厅1卫,五金宿舍(利农胡同),低层(共6层),南市利农胡同,保定民生房产－陈业博陈业博2年保定民生房产58同城认证商家,95.0,13482.0,70.46
117,117,首付25万紧邻八中保师附小联盟路小学两居,1,68.69,89,12956,2室1厅1卫,八中宿舍,高层(共6层),南市西下关街,独立经纪人－于倩于倩1年独立经纪人58同城认证商家,89.0,12956.0,68.69
118,118,市中心大慈阁中华小区清真寺小区对面裕华园,1,83.5,129,15449,3室1厅1卫,裕华园小区,中层(共7层),南市莲池南大街,独立经纪人－孟庆敏孟庆敏1年独立经纪人58同城认证商家,129.0,15449.0,83.5
119,119,二环内悦水澜庭单价6000元大产权急用钱,1,91.16,54.69,5999,2室2厅1卫,华舜学府,高层(共23层),南市长城南大街,独立经纪人－樊丽颖樊丽颖1年独立经纪人58同城认证商家,54.69,5999.0,91.16
120,120,蓝湖郡紧缺房源真实单价9500可以贷款！先到,1,92.5,87.87,9499,2室2厅1卫,蓝湖郡,低层(共30层),南市朝阳南大街,独立经纪人－王小红王小红1年独立经纪人58同城认证商家,87.87,9499.0,92.5
121,121,军校附近精装婚房3室全屋索菲亚东部风景东方家园,1,118.3,174,14708,3室2厅1卫,东部风景,高层(共6层),南市玉兰大街373号,独立经纪人－刘满生刘满生2年独立经纪人58同城认证商家,174.0,14708.0,118.3
122,122,机床厂宿舍超值南北通透黄金楼层首付30万三居,1,83.0,110,13253,3室2厅1卫,二机床厂宿舍,低层(共6层),南市裕华东路,经纪人－孔祥虎孔祥虎1年58同城认证商家,110.0,13253.0,83.0
