,id,shiqu,总价,均价,面积,小区,样本数量
624,9762.111111,3.222222222,571.7777778,25683,222.8888889,康诚香槟小镇(公寓),9
169,9097.759259,3.018518519,291.1666667,21865.01852,131.6546296,京南一品,54
1248,8880.5,3,474.9583333,20975.58333,222.0666667,钻石嘉园,12
417,8716.727273,3,499.4545455,19683.18182,249.9090909,名人国际(别墅),11
1038,2314.215909,1,234.9261364,18661.71591,118.4675,秀兰绿荫里,88
140,10253.57143,3.428571429,110.5714286,18194.42857,63.26,九华家园,7
630,2333.444444,1,117.5,17913,66.44444444,建行宿舍(永华大街),9
694,8936.666667,3,192.1666667,17813.33333,107.8333333,春风小区,6
1243,9160.351351,3,274.1378378,17641.81081,156.6981081,鑫和花园,37
132,8722.751323,3,163.868254,17075.62963,93.86174603,丽景蓝湾B区,189
442,9576.153846,3.153846154,119.2307692,16788.23077,69.53846154,嘉兴青年新城,13
1019,8872.1,3,120.56,16779.7,73.266,秀兰文景苑,10
416,6170.125,2,338.75,16773.875,197.375,名人国际(公寓),8
79,8731.728395,3,194.817284,16763.45679,111.8516049,东方家园,81
141,7282.25,3,202,16712.875,120.79375,九华社区,8
1001,8716.772727,3,237.1363636,16604.54545,139.5331818,秀兰四季城,22
950,9792.928571,3.142857143,171.3428571,16527.14286,102.7878571,盛和嘉园,14
131,9153.306931,3.03960396,195.9415842,16519.84158,118.1175248,丽景蓝湾A区,101
1010,8315.222222,3,137.5555556,16473.27778,81.035,秀兰尚城,18
66,1725.125,1,189.57,16457.25,111.70575,世家郦园,40
247,9710.666667,3,229,16381.33333,139.9166667,假日第一城,6
242,8615.22,3.02,191.628,16344.5,117.1164,假日山水华庭,50
563,8539,3,190.3666667,16149.66667,114.5,尚北岚庭,6
623,7401.5,3,137,16117.3,85,康诚锋尚公寓(复兴中路),10
1164,2479,1,117.6777778,16029.55556,74.50777778,裕华园小区,9
1189,8377.75,3,201.375,15869.625,125.625,警盾家园,8
275,2068.555556,1,88.77777778,15818.55556,57.65555556,兴华小区,9
663,8995.369369,3.009009009,184.0774775,15734.53153,113.9717117,新一代小区C区,111
358,2193.666667,1,90.16666667,15695.5,58.53,十七中宿舍,6
1236,5698.3,2,394.6,15692,244.3,金霞别墅小区(别墅),10
810,5614.321429,2.214285714,193.4928571,15678,122.1964286,水榭花城,28
480,10204.54762,3.369047619,175.2547619,15640.19048,110.4434524,城市印象,84
485,8957.054054,3,141.0321622,15637.24324,91.18513514,复兴苑,37
1049,9272.909091,3,82.09090909,15634.72727,52.94363636,秀兰银色星座A座,11
185,1734.4,1,136.095,15518.1,86.458,佰盛东俪湾,20
168,4085.111111,2,135,15517,87,交通局宿舍(通惠路),9
339,1985.5,1,92.34,15387.32,60.5478,北唐小区,50
1117,5155.117647,2,154.1176471,15369.35294,99.50882353,花倾城一区,17
249,5268.978723,2,181.9148936,15319.76596,118.4878723,假日雅典城,47
521,5595.913043,2,147.8086957,15187.69565,95.16173913,天籁新城,23
379,6158.136364,2,140.8272727,15184.09091,92.665,卓正丽景溪城,22
68,8547.857143,3,246.8571429,15177,163.7942857,世纪华庭,7
133,9042,3,162.0588235,15154.23529,107.1894118,丽景蓝湾C区,17
460,10919.22222,3.777777778,191,15135.66667,125.9477778,国宅华府东院,9
1007,8903.145833,3,192.5208333,15134.60417,119.70125,秀兰城市花园,48
869,9042.461538,3.025641026,173.9717949,15051,115.515641,源盛嘉禾B区,39
1297,10129.66667,3.333333333,171.3533333,15011.44444,113,青山公爵城,9
599,5723.5,2,87.33333333,15002.5,58.39666667,市直机关宿舍四号区,6
919,8699.733333,3.033333333,171.7133333,14936.26667,117.1826667,珑城花园,30
1062,6078.875,2.25,114.975,14859.625,79.61,竞秀小区,8
640,2094.142857,1,98.35714286,14855.57143,67.44214286,总督署小区,14
613,8159.857143,2.714285714,155.3428571,14825.64286,104.7214286,府上,14
176,5189.625,2,126.725,14750,88.925,仁和公寓,8
870,7764.8,2.533333333,160.08,14734.06667,108.7993333,源盛嘉禾C区,15
1278,5618.923077,2,187.4615385,14703.23077,123.4692308,阳光小区(向阳北大街),13
6,5173.120275,2.144329897,142.5910309,14666.46735,97.21931271,K2玉兰湾,291
342,5325,2,97.42857143,14657.71429,67.57142857,北基地建设家园,7
112,5982.65,2.1,166.3375,14654.55,111.178,中央峰景,40
1232,2276.857143,1,87.42857143,14634.85714,59.22285714,金线小区,7
1203,8896.764706,3.029411765,132.0529412,14538.79412,91.36941176,迎宾小区(北区),34
341,5668.65,2,112.26,14520.1,76.676,北基地小区,20
146,7914.142857,3,110.7428571,14503.57143,75.54428571,书香门第,7
678,5268.428571,2,85.97142857,14497.28571,59.28571429,新景观公寓,7
1096,9363.953125,3.171875,191.984375,14492.34375,127.1471875,绿都皇城,64
130,8743.088235,3.088235294,176.0088235,14486.58824,120.8420588,丽景华庭,34
859,1889.125,1,117.0625,14486.125,81.413125,淮军公所,16
292,7731.153846,3,176.9230769,14460,122.1923077,凤凰城社区,13
97,2332.888889,1,120.1111111,14452.88889,81.77777778,东郦湾,9
1139,7108.8,2.6,210.7,14424.2,145.854,茗畅园,10
1185,8908.66129,3.048387097,122.7612903,14407.95161,85.21548387,西苑南社区,62
661,7098.333333,2.666666667,148.6666667,14405.44444,102.2666667,新一代小区A区,9
750,2906.842105,1.236842105,170.9531579,14391.94737,119.2713158,未来紫金府,38
1003,8343.2,2.6,107.66,14366.7,75.489,秀兰城市绿洲,10
135,5808.333333,2,81.33333333,14346,56.55555556,乐凯二区,9
303,2362.909091,1,88.90909091,14332.63636,61.04545455,利诚小区,11
667,8896.826923,3,171.7057692,14327.03846,118.8069231,新东方凤凰城,52
258,2592.333333,1,120.8333333,14281.2,84.71333333,八一小区,15
857,5258.666667,2,131.3333333,14273.88889,90.83333333,海怡佳苑,9
665,7468.5625,2.5,148.375,14266.6875,104.375,新世纪花园A区,16
1163,1670.908163,1,98.02234694,14263.40816,69.49438776,裕华园,98
1025,9564.925926,3.037037037,129.0518519,14262.37037,91.33962963,秀兰森活里,27
364,7193,2.476190476,167.9285714,14255.95238,117.9380952,华中国宅华府,21
498,8265.5,3,97.875,14218.375,68.875,大学城园中苑,8
928,4910.166667,2,99.26666667,14214.66667,69.05,田野小区,6
676,2038.04,1,124.34,14193.98,87.2744,新建华小区,50
314,4423.375,2,136,14192.5,95.875,勘察研究总院宿舍中区,8
877,9298.083333,3,173.9,14181.83333,121.5,溪杉樾,12
662,6358.5,2,182.9833333,14180.16667,127.9466667,新一代小区B区,6
65,6280.571429,2.285714286,140.8571429,14177.71429,99.73857143,世家花园,7
457,9151.375,3.125,174.5833333,14134.16667,123.49375,国宅华园,24
397,1508.65,1,91.785,14115.85,67.1355,卫校宿舍,20
908,11777.41667,4,137.9333333,14107.08333,98.05,玉兰湾,12
736,8188.48,2.72,101.92,14093.16,72.1388,朝阳龙座,25
98,1694.411043,1,165.2846626,14092.30675,115.9531902,东部风景,163
820,7820.463415,3,97.47804878,14080,69.28390244,永北小区,41
707,9823.166667,3.166666667,142.9444444,14015.72222,102.7777778,普兰庭,18
151,9701.5,3.269230769,179.6692308,14010.69231,128.9884615,云溪九城,26
822,8259.444444,3,95.08333333,14000.38889,67.90555556,永华园,18
1116,6638.454545,2.363636364,76.78181818,13988.09091,54.59272727,航天佳苑,11
868,7756.806452,2.64516129,156.5483871,13924.48387,113.5322581,源盛嘉禾A区,31
516,8501.333333,2.814814815,142.4814815,13922.18519,99.87851852,天威绿谷,27
8,8461,3,177.41,13896.8,131.7,Park湾,10
751,2802.230769,1.307692308,153.7692308,13869.07692,111,未来花郡,13
861,8653.258065,3,183.0774194,13867.77419,135.7593548,清山公爵城,31
16,8398.5,3,109.5,13716.16667,82,一中心医院宿舍,6
1052,9100.775281,3.033707865,184.6044944,13578.94382,136.3430337,秀兰锦观城,89
1077,8783,3.166666667,184.2533333,13569.16667,125.8233333,红山庄园(公寓),6
142,5767,2,121.875,13564.25,90.95,九号公寓,12
23,10758,3.666666667,176.6666667,13530.16667,129.1666667,万博广场,6
418,9091.125,3,267.625,13528.125,213.875,名仕佳苑,8
605,8501.829787,3,68.97446809,13508.57447,51.93617021,师专宿舍,47
278,7008.384615,2.461538462,137.4615385,13497.38462,102.1307692,兴远现代城,13
597,5891.083333,2.166666667,85.5,13488.08333,63.03333333,市直机关宿舍一号区,12
1225,8973,3,122.25,13473.83333,91.625,金昌小区东区,12
1079,1610.580645,1,71.42258065,13473.35484,52.71677419,红星四号院,31
390,8569.682927,3.024390244,140.502439,13408.31707,104.7485366,博仕园,41
837,5410.6,1.9,86.06,13403.4,64.07,河北电力职工大学宿舍,10
898,5750.222222,2,77.22222222,13386.44444,57.53333333,爱民社区,9
310,1935.875,1,87.6125,13385.78125,65.4003125,力高豪园,32
26,7466.75,2.5625,130.184375,13364.28125,97.91625,万和城A区,32
88,9150.222222,3.111111111,185.6222222,13363.77778,137.3311111,东湖印象,9
930,1840.611111,1,82.12222222,13353.22222,61.47222222,电业局宿舍,18
1186,8706.916667,3,132.1245833,13323.25,101.7183333,西苑小区,24
61,7582.090909,2.545454545,116.1181818,13312.72727,84.96545455,上林风景,11
1323,11418.93511,3.989361702,107.7358511,13306.19574,78.72689362,香溪名门,940
1184,9170.833333,3,153.045,13274.61905,118.0147619,西苑北小区,42
935,5179.818182,2,83.84545455,13246.27273,63.44545455,电气化小区,11
594,1470.205128,1,116.7384615,13241.94872,88.11538462,市民宿舍,39
975,1563.625,1,78.375,13237.5,59.86,省职工医学院宿舍北院,8
501,8743.888889,3,78.91851852,13236.33333,59.11037037,大慈阁小区,27
1093,9270.275,3.1,163.5575,13222.975,121.6025,维多利亚夏郡,40
398,8312.444444,3,73.6,13218.22222,56.46,厚福盈小区,9
161,8960.222222,3,150.8111111,13206.44444,113.8888889,亢龙骏景B区,9
201,1472.512821,1,79.83076923,13196.23077,60.49358974,保定卷烟厂生活区A区,39
261,9511.725806,3.241935484,150.6032258,13187.12903,113.5022581,公园时代,62
414,5609.8125,2.25,114.3125,13173.5625,86.86875,吉翔园小区,16
148,1911.16,1,66.912,13172.88,51.8348,二机床厂宿舍,25
550,5657.5,2,67.45,13170.83333,51.31666667,宝硕集团宿舍,6
792,5566.142857,2,198.9428571,13129.71429,151.4285714,欣园社区,7
381,6139.222222,2.222222222,89.21111111,13128.88889,67.83333333,南基地省建宿舍,9
1020,6178.807692,2.076923077,75.02307692,13124.03846,57.54576923,秀兰新畿辅,26
105,8947.909091,3.03030303,89.05454545,13121.69697,68.17030303,中华小区二区,33
1085,1912.327273,1,143.3654545,13110.98182,107.04,红阳小区,55
106,9046.489796,3.06122449,89.26938776,13100.93878,68.42163265,中华小区五区,49
162,2106.454545,1,99.69090909,13087.18182,76.64545455,交警支队宿舍,11
598,4294.266667,2,126.1333333,13078.33333,95.67466667,市直机关宿舍五号区,15
471,2471,1,373.1428571,13030.28571,286.1857143,地中海(别墅),7
1260,4074.1,2,88.5,13027.6,67.93,铁路电气化宿舍,10
159,1920.535714,1,108.3892857,13017.07143,83.99428571,五金宿舍(利农胡同),28
103,9092.740741,3.111111111,87.85740741,13003.2037,67.67240741,中华小区一区,54
537,5627.125,2.25,192.25,12985.5,148.0375,宁和小区,8
827,11805.81818,3.909090909,71.61818182,12984.81818,54.93636364,汇博上谷大观,11
420,4110.6,2,70.8,12983.7,54.6,向阳南社区,10
938,4914.076923,2,69.61538462,12962.15385,53.69230769,电院小区,13
1017,6479,2.333333333,122.3,12952.5,95.42333333,秀兰康泽园北区,6
1233,6388.933333,2.2,158.7,12947.23333,121.836,金迪花园,30
1191,8058.962963,3,140.7222222,12931.88889,109.4788889,豪景铭居,27
627,5222.5,2.181818182,128.9545455,12910.77273,101.1527273,建安三公司宿舍,22
1222,1591.074074,1,68.95925926,12897.40741,53.8637037,金叶小区,27
1120,4780.423077,2.038461538,79.925,12888.80769,62.91730769,花园里小区,52
1145,8448.285714,3,88.71428571,12887.57143,68.75571429,药厂三区,14
317,1429.111111,1,86.04444444,12886.77778,66.38,化二东宿舍,9
1205,1855.339623,1,108.6490566,12881.81132,84.11471698,运输一公司宿舍,53
910,6835.658537,2.475609756,131.9134146,12857.20732,102.6676829,玉兰花园,82
491,5890.5,2,100.3,12855.16667,78.33333333,外贸宿舍(朝阳路),6
451,4902,2,59.16666667,12854.66667,46.3575,四里营小区,12
160,2194,1,106.4090909,12838.45455,84.59090909,五金站宿舍楼,11
