,id,shiqu,总价,均价,面积,小区,样本数量
178,9252.733333,3.047619048,264.5961905,21826.18095,120.717619,京南一品,105
1138,8411.125,3,378.125,20026,177.26375,红山庄园(别墅),8
1096,2110.428571,1.040816327,258.3306122,19627.38776,127.3453061,秀兰绿荫里,49
1326,7552.428571,2.857142857,302.2857143,18658,163.0928571,钻石嘉园,14
1068,8409.428571,3,190.2571429,18628.57143,103.8971429,秀兰尚城,7
132,9705,3.142857143,233.9,18500.85714,124.5442857,丽景蓝湾,7
51,12302.83333,4,90,18000,50,万隆街低首付就可拥有一套门脸儿,12
84,8488.629032,3,222.4758065,17884.41935,117.7108065,东方家园,62
1321,8900.153846,3.038461538,291.1438462,17673.94231,165.5271154,鑫和花园,52
134,9131.813793,3.020689655,186.302069,17466.14483,101.7008276,丽景蓝湾B区,145
696,12744.625,4,188.875,17370.625,107.93375,新一代C区公安局宿舍,8
1017,12512.41176,4,72.76470588,17025.35294,42.68235294,直隶珠宝古玩城,17
918,9264.769231,3.230769231,194.9538462,16999.41026,114.1246154,源盛嘉禾B区,39
71,2277.736842,1,146.2105263,16682.10526,86.59736842,世家郦园,19
245,9321.54717,3.188679245,203.4207547,16619.84906,122.0269811,假日山水华庭,53
924,8985.695652,3.173913043,193.2086957,16612.82609,114.5073913,溪杉樾,23
915,11700.375,4,223.23125,16612.25,121.11,源盛嘉禾,8
1059,8822.411765,3,208,16566.26471,123.5911765,秀兰四季城,34
144,3912.285714,2,190.4285714,16428,115.9157143,九华家园,7
133,8884.237762,3.034965035,209.8713287,16242.70629,128.2393706,丽景蓝湾A区,143
919,6623.8,2.4,187.58,16235,110.869,源盛嘉禾C区,10
467,9050.818182,3.090909091,91.36363636,16144.54545,56.61818182,嘉兴青年新城,11
73,8824.6,3.066666667,256.8666667,16005.2,160.3693333,世纪华庭,15
1442,1708,1,153.5333333,15987.22222,98.83666667,魅力东方,9
485,10508.84615,3.692307692,195.9230769,15948.92308,122.1515385,国宅华府东院,13
1060,8924,2.923076923,149.6153846,15852.53846,94.03,秀兰城市绿洲,13
1085,8376.527778,2.972222222,144,15744.52778,88.41055556,秀兰森活里,36
587,10011.33333,3.333333333,192.6666667,15736,122.9883333,尚北岚庭,6
1260,9332.818182,3.090909091,198.0727273,15704.45455,125.0254545,警盾家园,11
509,8857.45,3,153.07,15703.4,97.501,复兴苑,40
1383,10202,3.5,186.3,15702.2,117.8,青山公爵城,10
136,8837.722222,3,158.2811111,15674.33333,100.9588889,丽景蓝湾C区,18
185,4704,2,89.66666667,15635.66667,58.66666667,仁和公寓,6
103,2056,1,145.2444444,15592,92.99111111,东郦湾,9
351,2176.956522,1,88.73043478,15572.26087,57.61565217,北唐小区,23
505,8744.326425,2.953367876,170.0386528,15540.23316,108.5987047,城市印象,193
6,7058.210526,2.484210526,161.2814737,15517.03158,104.0497895,K2玉兰湾,95
1137,11435.66667,3.5,265.5,15422,161.5266667,红山庄园(公寓),6
1183,5319.818182,2,177.6363636,15405.18182,116.5536364,花倾城一区,11
706,8878.71345,3.023391813,181.9953216,15345.97661,115.9155556,新一代小区C区,171
