,id,shiqu,总价,均价,面积,小区,样本数量
1,3495.285714285714,1.2857142857142858,136.14285714285714,6290.857142857143,218.14285714285714,6英里小镇,7
5,8291.880597014926,2.1044776119402986,155.6238805970149,14969.10447761194,105.18925373134329,K2玉兰湾,67
8,9381.307692307691,3.0,124.76923076923077,12728.76923076923,97.79461538461538,Park湾,13
9,11781.166666666666,4.0,103.19166666666666,10363.333333333334,98.35666666666667,U100,6
15,11685.666666666666,4.0,93.78333333333335,9956.666666666666,94.13499999999999,u100,6
19,9736.5,2.6666666666666665,90.66666666666667,13134.666666666666,68.33333333333333,一中心医院宿舍,6
21,8056.666666666667,3.0,72.83333333333333,7506.0,97.60666666666667,万兴城,6
24,7623.428571428572,2.5714285714285716,105.25714285714285,9212.214285714286,114.65928571428572,万博园小区,14
25,10653.333333333334,3.1666666666666665,50.333333333333336,8298.944444444445,60.126666666666665,万和公寓,18
26,12516.384615384615,2.1538461538461537,127.07692307692308,11425.153846153846,113.56692307692308,万和城,13
27,9364.875,2.5625,118.94375,10837.125,118.6875,万和城A区,16
28,8343.0,2.1666666666666665,109.0,11952.333333333334,90.66666666666667,万和城B区,6
33,9260.8,2.6,88.7,10940.1,83.8,万和奥城,10
38,7747.768115942029,2.1231884057971016,86.30652173913043,10433.173913043478,83.36485507246374,万和春天,276
40,11910.416666666666,1.75,88.94166666666665,9662.333333333334,92.08333333333333,万和春天住区,12
45,11011.225806451614,2.2903225806451615,112.29032258064517,12485.09677419355,83.21774193548389,万和蓝山,31
51,12572.384615384615,1.2307692307692308,90.0,18000.0,50.0,万隆街低首付就可拥有一套门脸儿,13
54,2051.6470588235293,1.0,107.81176470588235,11201.117647058823,97.68764705882353,三丰路小区,17
59,11860.0,1.6666666666666667,53.0,5343.666666666667,95.01666666666667,上和桃源,6
63,8938.333333333334,2.5,289.1666666666667,17536.5,161.0,上林风景,6
65,12492.857142857143,1.8571428571428572,51.285714285714285,4281.571428571428,121.52857142857142,上河桃园,7
67,9232.875,3.0,215.45,15699.375,133.475,上湖名郡,8
69,5569.166666666667,2.0,150.83333333333334,13798.833333333334,112.13333333333333,世家花园,12
70,1926.578947368421,1.0,166.89473684210526,18124.473684210527,93.59947368421052,世家郦园,19
71,8675.1,3.0,140.35999999999999,13854.2,101.3,世新园,10
72,8983.777777777777,2.7777777777777777,273.6666666666667,15737.777777777777,172.66666666666666,世纪华庭,9
77,1680.409090909091,1.0,58.33636363636363,11350.40909090909,51.13636363636363,东升街50号院,22
78,9596.25,2.6666666666666665,116.86666666666667,12036.416666666666,96.69166666666666,东城名筑,12
79,1745.0,1.0,69.15384615384616,6446.692307692308,109.23384615384614,东城国际,13
81,8567.666666666666,3.0,137.0,13037.333333333334,105.16666666666667,东方云顶,6
83,8998.75,3.0,183.76500000000001,16350.65,107.24824999999998,东方家园,40
87,8764.42857142857,3.0,85.21428571428571,7423.714285714285,113.03571428571429,东方紫园,14
89,9587.875,2.625,79.125,7248.875,108.69874999999999,东来城,8
91,7615.6,2.8,170.1,12290.6,133.941,东湖印象,10
93,9703.882352941177,3.0,113.73529411764706,9424.470588235294,119.77705882352942,东湖庄园A区,17
97,8002.111111111111,3.0,45.916666666666664,11288.444444444445,40.44444444444444,东进巷小区,18
98,2297.9285714285716,1.0,138.87857142857143,15406.0,89.92285714285715,东郦湾,14
99,2068.2020202020203,1.0404040404040404,175.35959595959594,14905.191919191919,115.78545454545453,东部风景,99
108,9510.469696969696,3.0606060606060606,89.85348484848487,13378.60606060606,68.43727272727273,中华小区一区,66
110,9074.318181818182,3.0454545454545454,90.47727272727273,13183.818181818182,68.54545454545455,中华小区二区,22
